Developer,Country,Year_of_Establishment
Tenky Co.,Unknown,Unknown
Data West,Unknown,Unknown
Good Smile Company,Unknown,Unknown
Konami Computer Entertainment Chicago,United States of America,Unknown
ESP Software,Unknown,Unknown
HuneX,Japan,1992
Yumekobo,Japan,1998
Square Enix Business Division 10,Japan,2013
Frozen North Productions,Unknown,Unknown
Shin'en Multimedia,Germany,Unknown
HyperDevbox Japan,Unknown,Unknown
Sega Interactive,Japan,2015
EKO Software,France,Unknown
Radius9,Unknown,Unknown
City Connection,Unknown,Unknown
Midway Manufacturing,United States of America,1958
Funcom Dublin Ltd.,Unknown,Unknown
JVC Musical Industries,United States of America,1982
Iron Lore Entertainment,United States of America,2000
Ancient,Japan,1990
The Learning Company,United States of America,1980
Ninja Studio,Unknown,Unknown
Codo Technologies,Unknown,Unknown
"Big Splash Games, LLC",Unknown,Unknown
MSF/Winds,Unknown,Unknown
Paradox Development Studio,Sweden,1995
General Arcade,Unknown,Unknown
Mystery Studio,Unknown,Unknown
Graffiti Entertainment,United States of America,2006
Cowboy Rodeo,Finland,Unknown
Tuning Electronic,Unknown,Unknown
Broadsword Interactive,Unknown,Unknown
Barunson Creative,"Korea, Republic of",2003
LSP,Unknown,Unknown
1C: Maddox Games,Unknown,Unknown
Fresh3D,France,Unknown
Pegasus Japan,Unknown,Unknown
Digitalmindsoft,Germany,2006
Dragonstone Software,Unknown,Unknown
sprite,Japan,2010
Iceberg Interactive,"Netherlands, Kingdom of the",2009
CRI Middleware,Unknown,Unknown
Seika Corporation,Unknown,Unknown
Targem Games,Russian Federation,Unknown
Ertain,Unknown,Unknown
"Sinister Games, Inc.",Unknown,Unknown
Smart Dog,Unknown,Unknown
PROTOTYPE,Japan,2006
HAMSTER Corporation,Japan,1999
Technosoft,Japan,1982
Twenty-one,Unknown,Unknown
MLB.com,Unknown,Unknown
Produce,Unknown,Unknown
Opus,Unknown,Unknown
Rake in Grass,Czechia,Unknown
Beatshapers,Ukraine,Unknown
Mediatonic,United Kingdom of Great Britain and Northern Ireland,2005
Slitherine Ltd.,United Kingdom of Great Britain and Northern Ireland,2010
Studio XELFLEX,Unknown,Unknown
Fountainhead Entertainment,Unknown,Unknown
Brain in a Jar,United Kingdom of Great Britain and Northern Ireland,1998
Synthetic Dimensions,Unknown,Unknown
Blizzard Classic Arcade,Unknown,Unknown
Lay-Up,Unknown,Unknown
Joindots,Unknown,Unknown
TOPICS Entertainment,Unknown,Unknown
Playrix LLC,Unknown,Unknown
Carapace,Unknown,Unknown
EON Digital Entertainment,United Kingdom of Great Britain and Northern Ireland,2000
Greenwave Games,Unknown,Unknown
Liquid Dragon Studios,Unknown,Unknown
Silicon & Synapse,United States of America,Unknown
Hookstone,Unknown,Unknown
Greenwood Entertainment Software GmbH,Unknown,Unknown
VR Sports,Unknown,Unknown
Rejet,Japan,Unknown
Blazing Lizard,Unknown,Unknown
Stainless Steel Studios,United States of America,1998
Velez & Dubail,Unknown,Unknown
Dream Publishing,Japan,2002
Intragames,Unknown,Unknown
VSTEP,"Netherlands, Kingdom of the",Unknown
Bright Future,Germany,2006
HyberDevbox Japan,Unknown,Unknown
Octopus Studio,Unknown,Unknown
Russel,Unknown,Unknown
Coyote Console,Unknown,Unknown
"Skyworks Interactive, Inc.",Unknown,Unknown
Destination Software Inc.,Unknown,Unknown
SNK of America,Unknown,Unknown
WizardWorks Software,United States of America,1990
S-NEO,Unknown,Unknown
MSN Games,Unknown,Unknown
DIC Entertainment,Unknown,Unknown
Vision Media Engineering,Unknown,Unknown
Squaresoft,Unknown,Unknown
kunst-stoff GmbH,Germany,2019
Pure Audio,Unknown,Unknown
Cranberry Production,Unknown,Unknown
Killaware,Unknown,Unknown
Visual Art's MottoSP,Japan,Unknown
Red Lemon Studios,Unknown,Unknown
Kylotonn Entertainment,Unknown,Unknown
BeXide,Japan,1999
InterActive Vision,Denmark,1989
Vivid Design,Unknown,Unknown
Intergrow,Unknown,Unknown
SKONEC,Unknown,Unknown
Game Club,Unknown,Unknown
1C-777,Unknown,Unknown
Tranji Studios,Unknown,Unknown
Kaga Create,Japan,1988
Warashi,Unknown,Unknown
Eko System,Unknown,Unknown
Fusionsphere Systems,Unknown,Unknown
Gaslamp Games,Canada,Unknown
Paprikari,Serbia,Unknown
GSP,Unknown,Unknown
Games Foundation,Unknown,Unknown
Pixonauts,Unknown,Unknown
Zoink Games,Sweden,2001
SnapDragon Games,Germany,Unknown
Tri Synergy,Unknown,Unknown
KID,Unknown,Unknown
SDR Project,Unknown,Unknown
Alawar,Russian Federation,Unknown
Purple Hills,Unknown,Unknown
Sabarasa,Argentina,1996
Freeverse Software,Unknown,Unknown
Nival Interactive,Russian Federation,1996
PopTop Software,United States of America,1993
Alchemic Productions,United States of America,Unknown
Best Way,Ukraine,1991
Lace Mamba Global,United Kingdom of Great Britain and Northern Ireland,2010
3D Ages,Unknown,Unknown
Interchannel,Unknown,Unknown
The Farm 51,Poland,Unknown
Iridon Interactive AB,Sweden,1997
Delta Factory,Unknown,Unknown
R.U.N.,Unknown,Unknown
7Sixty,Unknown,Unknown
Sonnet,Unknown,Unknown
APOLLOSOFT,Unknown,Unknown
1C-Avalon,Unknown,Unknown
VM Labs,Unknown,Unknown
BoomBox,Unknown,Unknown
Ocean Media,Unknown,Unknown
Blue 52,Unknown,Unknown
Dovetail Games,United Kingdom of Great Britain and Northern Ireland,2008
Any Channel,Unknown,Unknown
Coconuts Japan,Unknown,Unknown
Corecell Technology,Thailand,2002
Forged Alliance Forever,Unknown,Unknown
Netchubiyori,Unknown,Unknown
Indie Games,United States of America,2003
Nobilis Interactive,France,2007
Arcadia Project,Japan,2002
Gammick Entertainment,Unknown,Unknown
Tilted Mill Entertainment,United States of America,2002
Acttil,Unknown,Unknown
K2 Network,Unknown,Unknown
Reloaded Productions,Unknown,Unknown
ARCgames,Unknown,Unknown
NTT Solmare Corp.,Japan,2002
Tomcat System,Japan,1991
Chiyomaru Studio,Unknown,Unknown
Circle Studio,Unknown,Unknown
Gizmondo Games,Unknown,Unknown
Frozenbyte,Finland,2001
Visual Shape,Unknown,Unknown
Alawar Entertainment,Russian Federation,Unknown
(Archive) Ubisoft Entertainment SA (Korea),Unknown,Unknown
Good Shepherd Entertainment,"Netherlands, Kingdom of the",2011
Urban Games,Switzerland,2013
Ocean Software Ltd.,Unknown,Unknown
Realore Studios,Lithuania,2002
Pukka Games,Unknown,Unknown
2D Boy,United States of America,Unknown
Tomorrow Corporation,United States of America,2009
Brighter Minds,Unknown,Unknown
Ironclad Games,Canada,Unknown
Stardock,United States of America,1991
Easy Interactive,Unknown,Unknown
Kando Games,Unknown,Unknown
Jack Of All Games,Unknown,Unknown
Fields Corporation,Unknown,Unknown
Takara Tomy Arts,Unknown,Unknown
XPEC Entertainment Inc.,China,Unknown
Sirius Games,Unknown,Unknown
United Independent Entertainment GmbH,Germany,2005
PerspectX,Unknown,Unknown
Enlight Software Limited,United Kingdom of Great Britain and Northern Ireland,1993
"APLUS Co., Ltd.",Unknown,Unknown
Impressions Games,United Kingdom of Great Britain and Northern Ireland,1989
Gearbox Publishing,United States of America,2016
NCS,Unknown,Unknown
"Extreme Co.,Ltd",Japan,2005
Encore Software Inc.,Unknown,Unknown
Hokus-Pokus,Unknown,Unknown
Ice-Pick Lodge,Russian Federation,Unknown
Odyssia,United Kingdom of Great Britain and Northern Ireland,2009
"CyberConnect Co., Ltd.",Japan,1996
BattleGoat Studios,Canada,Unknown
Agatsuma Entertainment,Unknown,Unknown
Natsume inc. Japan,Japan,2013
Fuji Television,Unknown,Unknown
Scitron & Art Inc,Unknown,Unknown
Accelerate Games,Unknown,Unknown
Elegant Chaos,Unknown,Unknown
Voxler,France,2005
Screaming Pink,Unknown,Unknown
Super Empire,Unknown,Unknown
Alicesoft,Japan,1989
(Archive) Konami Digital Entertainment GmbH,Unknown,Unknown
HBO,Unknown,Unknown
Kama Digital Entertainment,Unknown,Unknown
Edmund McMillen,Unknown,Unknown
NITRO CHiRAL,Japan,2004
Tiwak,France,2002
Clouded Leopard Entertainment Inc.,Japan,2019
Miracle Positive,Unknown,Unknown
Cygames,Japan,2011
Introversion Software,United Kingdom of Great Britain and Northern Ireland,2001
Dramatic Create,Japan,2014
TGL,Unknown,Unknown
Team Meat,United States of America,2008
QuinRose,Japan,2005
Eagle Dynamics,Russian Federation,Unknown
Piacci,Unknown,Unknown
fairys,Japan,Unknown
HIKARI FIELD,Unknown,Unknown
NekoNyan,Germany,Unknown
Sting Entertainment,Japan,1989
Grounding Inc,Unknown,Unknown
Poponchi,Unknown,Unknown
Bohemia Interactive,Czechia,1999
7thChord,Unknown,Unknown
Hot B,Unknown,Unknown
Route 1 Games,Unknown,Unknown
Digital Tales,Unknown,Unknown
Studio Fizbin,Germany,2011
Game Factory,Unknown,Unknown
JVC Musical Industries Europe,Unknown,Unknown
zSlide,France,2000
Tragnarion Studios,Unknown,Unknown
InnoGlow,Unknown,Unknown
Stormregion,Unknown,1997
âge,Japan,1998
Jaleco USA,United States of America,Unknown
Chara-Ani,Unknown,Unknown
Nintendo of Korea,"Korea, Republic of",Unknown
Poni-Pachet SY,Unknown,Unknown
ParaPhray,Unknown,Unknown
Asgard Japan,Unknown,Unknown
Naps Team,Italy,1993
Wargaming Chicago-Baltimore,Unknown,Unknown
Wargaming.net,Cyprus,1998
Giga,Japan,1993
ENTERGRAM,Japan,1999
Number None Inc.,Unknown,Unknown
Hothead Games,Canada,Unknown
stillalive studios,Austria,2010
astragon Entertainment GmbH,Germany,2015
Team Muramasa,Japan,2007
Excalibur Publishing,United Kingdom of Great Britain and Northern Ireland,Unknown
Twelve Games,Unknown,Unknown
Funatics Development,Germany,1998
Möbius Entertainment,Unknown,Unknown
"CAPCOM U.S.A., INC.",Unknown,Unknown
Tru Blu Games,Unknown,Unknown
CompuExpert,Unknown,Unknown
Arrowhead Game Studios,Sweden,2008
Bandai Namco Entertainment Asia,Unknown,Unknown
"Idea Factory Co., Ltd.",Unknown,Unknown
Tetragon,Unknown,Unknown
"Virgin Interactive Entertainment, Inc.",United States of America,1993
Virgin Interactive Entertainment (Japan),Unknown,Unknown
Promethean Interactive,Unknown,Unknown
Lexicon Entertainment,Unknown,Unknown
dk games,Unknown,Unknown
MediaWorks,Unknown,Unknown
Gravity Europe SAS,France,Unknown
Artefacts Studio,France,2003
ZigZag Island,Unknown,Unknown
Livedoor,Unknown,Unknown
"Alawar Entertainment, Inc.",Unknown,Unknown
Jaibo Games,Unknown,Unknown
EMIQ,Unknown,Unknown
Kids Station,Unknown,Unknown
PuzzleKings,Unknown,Unknown
Jaleco Entertainment,United States of America,2002
Sega International,Unknown,Unknown
Gameness Art,Unknown,Unknown
"Dracue, Co. ltd",Unknown,Unknown
Linux Game Publishing,Unknown,Unknown
Mindware Studios,Unknown,Unknown
Tomsoft,Unknown,Unknown
Mythic Entertainment,United States of America,1997
Spellbound,Unknown,Unknown
F&C,Unknown,Unknown
SEK,Germany,1998
Doki Denki SA,Unknown,Unknown
DigiCube,Japan,1996
Dreams,Unknown,Unknown
SpinTop Games,Unknown,Unknown
Dream Catcher Interactive,Unknown,Unknown
Multimedia Intelligence Transfer,Unknown,Unknown
Rainbow S.p.A.,Unknown,Unknown
Cryptic Studios,Unknown,Unknown
Anima Project,Spain,Unknown
Badland Publishing,Unknown,Unknown
Exile Entertainment,Unknown,Unknown
Enlight Interactive Inc.,Unknown,Unknown
0verflow,Japan,1997
Maddox Games,Unknown,Unknown
Lead Pursuit,Unknown,Unknown
Digital Works Entertainment,Japan,2001
Lillian,Unknown,Unknown
Punchline,Japan,2002
Shirogumi,Unknown,Unknown
Digital Bros,Italy,2000
Dino Dini,Unknown,Unknown
The Digital Lounge,Unknown,Unknown
United Soft Media Verlag,Unknown,Unknown
Opera House,Unknown,Unknown
Regista,Japan,2004
KatGames,Unknown,Unknown
CTO SpA,Unknown,Unknown
Big Fish Studios,United States of America,2002
MAGES. Inc.,Unknown,Unknown
Taleworlds,Türkiye,2005
light,Unknown,Unknown
"Views Co., Ltd",Unknown,Unknown
Trendy Entertainment,United States of America,Unknown
Reverb Communications,Unknown,Unknown
Next Games,Finland,2013
Connect2Media,Unknown,Unknown
Game Factory Interactive,Russian Federation,Unknown
Amigo Games Limited,Unknown,Unknown
Base Camp Films,Unknown,Unknown
GameTap Entertainment,Unknown,Unknown
Alternative Software Ltd,Unknown,Unknown
"Mine Loader Software Co., Ltd.",Unknown,Unknown
CUBETYPE,Japan,Unknown
Anaconda,Unknown,Unknown
ReadySoft,Unknown,Unknown
Milestone S.r.l.,Italy,Unknown
Small Rockets,Unknown,Unknown
Team Seven,Unknown,Unknown
Phenomedia Publishing,Germany,Unknown
GFI Russia,Russian Federation,Unknown
Turbine,United States of America,2005
Stainless Games Ltd.,United Kingdom of Great Britain and Northern Ireland,1994
"Athena Co., Ltd.",Unknown,Unknown
Playstos Entertainment,Italy,Unknown
Nvizzio Creations,Unknown,Unknown
Unigine Holding,Luxembourg,2005
Comfort,Unknown,Unknown
VIS-Games,Unknown,Unknown
Flagship Studios,Unknown,Unknown
HanbitSoft,Unknown,Unknown
Ichi Column,Unknown,Unknown
Humagade Inc.,Unknown,Unknown
Apollo Software,Unknown,Unknown
UFO Studio Asia,Unknown,Unknown
Cenega Publishing,Czechia,2002
Sierra On-Line,United States of America,1979
Crytek Budapest,Unknown,Unknown
Karin Entertainment,Unknown,Unknown
Infogrames Studios,Unknown,Unknown
1C: Ino-Co,Russian Federation,2007
Crenetic GmbH Studios,Germany,Unknown
Pterodon,Unknown,Unknown
Axela,Japan,1996
A1 Games,Unknown,Unknown
"COLOPL, Inc.",Japan,Unknown
Akatsuki Works,Unknown,Unknown
Slitherine Software UK Ltd.,United Kingdom of Great Britain and Northern Ireland,2000
Firepower Entertainment,Unknown,Unknown
Deep Red Games,United Kingdom of Great Britain and Northern Ireland,1998
Sanctuary,Japan,Unknown
Black Sea Studios,Bulgaria,2001
Black inc,Unknown,Unknown
White Birds Productions,France,Unknown
Deadline Games,Denmark,1996
Planet Interactive,Unknown,Unknown
Conspiracy Games,Unknown,Unknown
Sanuk Games,Thailand,Unknown
Space Monkey Games,Unknown,Unknown
Gameco Studios,France,2003
Play It Games,Unknown,Unknown
O-TWO Inc.,Unknown,Unknown
11 bit studios,Poland,2007
Sekai Project,United States of America,2013
Visual Arts,Japan,1991
Visual Art's Motto,Unknown,Unknown
FOG Inc.,Unknown,Unknown
Babylon,Unknown,Unknown
Wanadoo,Unknown,Unknown
FlyingShine,Japan,1995
WillPlus,Unknown,Unknown
estciel,Unknown,Unknown
Streamline Studios,Unknown,Unknown
Metia Interactive,New Zealand,Unknown
Flying Lab Software,Unknown,Unknown
Portalus Games,Unknown,Unknown
KTX Software,Unknown,Unknown
Signo & Arte,Unknown,Unknown
.dat,Unknown,Unknown
Squashy Software,New Zealand,1999
Enjoy Gaming Ltd.,Unknown,Unknown
Essential Games,United Kingdom of Great Britain and Northern Ireland,Unknown
Candy Soft,Japan,Unknown
Boomzap Entertainment,Singapore,Unknown
La'Cryma,Unknown,Unknown
MC2,Unknown,Unknown
Crimson Cow,Germany,Unknown
Autumn Moon Entertainment,Unknown,Unknown
Graviteam,Unknown,Unknown
"GULTI Co., Ltd.",Unknown,Unknown
P.A. Works,Unknown,Unknown
Elixir Studios,Unknown,Unknown
Compulsion Games,Canada,2009
GameOn,Japan,2002
Camouflaj,United States of America,Unknown
Lighthouse Interactive,"Netherlands, Kingdom of the",2005
Sony XDev,Unknown,Unknown
Michaelsoft Inc.,Japan,2005
PeasSoft,Unknown,Unknown
Daidai Inc.,Unknown,Unknown
Brightrock Games,United Kingdom of Great Britain and Northern Ireland,2015
"GignoSystem Japan, Inc.",Unknown,Unknown
ETS Entwicklerteam Slaby,Unknown,Unknown
astragon Software GmbH,Germany,2000
Metro,Unknown,Unknown
Fog,Unknown,Unknown
bitstep,Japan,2002
Asmik Ace,Japan,1985
Bit Town,Unknown,Unknown
TML-Studios,Germany,Unknown
Aerosoft GmbH,Germany,Unknown
Battlefront.com,United States of America,1997
Inter Frame Studio,Unknown,Unknown
Namco Bandai Games Asia,Unknown,Unknown
Blue Tea Games,Unknown,Unknown
HumaNature Studios,United States of America,2006
Nordic Softsales AB,Unknown,Unknown
EA Phenomic,Germany,Unknown
Empty Clip Studios,United States of America,2007
Triple Eh?,Unknown,Unknown
"GungHo Online Entertainment America, Inc.",United States of America,2012
Nintedo NSD,Unknown,Unknown
Light and Shadow Productions,Unknown,Unknown
Minori,Japan,Unknown
Beautiful Game Studios,United Kingdom of Great Britain and Northern Ireland,2003
Creative Core,Unknown,Unknown
Makura,Unknown,Unknown
UIG Entertainment,Unknown,Unknown
Magellan Interactive,Unknown,Unknown
Société Pollene,Unknown,Unknown
Boston Animation,Unknown,Unknown
Game Mill Entertainment,Unknown,Unknown
React Games,Unknown,Unknown
Wired Productions,United Kingdom of Great Britain and Northern Ireland,2008
M-trix,Unknown,Unknown
Frontwing,Unknown,Unknown
ONGAKUKAN,Japan,1985
AKABEiSOFT3,Japan,2007
Kalypso,Unknown,Unknown
Daisy2,Unknown,Unknown
Inferno Games,Unknown,Unknown
Katauri Interactive,Russian Federation,Unknown
Pegasus Software,Unknown,Unknown
aNCHOR,Unknown,Unknown
Primula,Unknown,Unknown
Icing Candy,Japan,Unknown
BlueMoon Software,Unknown,Unknown
Takuyo,Japan,Unknown
Imagination Entertainment,Australia,Unknown
Affect,Unknown,Unknown
El Dia,Unknown,Unknown
RED FLAG SHIP,Unknown,Unknown
Digiturbo,Unknown,Unknown
nekoneko soft,Unknown,Unknown
Sales Curve Interactive,Unknown,Unknown
Atomic Games,United States of America,1989
Just A Game,Unknown,Unknown
Colossal Studios,Unknown,Unknown
Hooksoft,Unknown,Unknown
House of Tales,Germany,Unknown
HandyGames,Germany,2000
August,Unknown,Unknown
